제품명,카테고리,가격,판매수량,매출액,지역,판매일
아이폰 15 Pro,전자제품,1500000,120,180000000,서울,2024-01-15
갤럭시 S24,전자제품,1200000,95,114000000,부산,2024-01-16
맥북 프로 14,전자제품,2800000,45,126000000,서울,2024-01-17
아이패드 에어,전자제품,850000,78,66300000,대전,2024-01-18
에어팟 프로,전자제품,350000,210,73500000,서울,2024-01-19
삼성 TV 65인치,전자제품,1800000,32,57600000,인천,2024-01-20
LG 냉장고,가전제품,2200000,28,61600000,광주,2024-01-21
다이슨 청소기,가전제품,980000,65,63700000,서울,2024-01-22
나이키 운동화,패션,189000,320,60480000,부산,2024-01-23
아디다스 트레이닝복,패션,129000,180,23220000,대구,2024-01-24
유니클로 패딩,패션,159000,250,39750000,서울,2024-01-25
스타벅스 텀블러,생활용품,35000,520,18200000,서울,2024-01-26
무지 노트북,생활용품,15000,680,10200000,제주,2024-01-27
이케아 책상,가구,250000,45,11250000,서울,2024-01-28
한샘 침대,가구,890000,22,19580000,부산,2024-01-29
신라면 박스,식품,28000,890,24920000,서울,2024-01-30
비비고 만두,식품,12000,1200,14400000,인천,2024-01-31
오뚜기 카레,식품,8500,950,8075000,대전,2024-02-01
코카콜라 1.5L,음료,2500,2100,5250000,서울,2024-02-02
스프라이트,음료,1800,1800,3240000,부산,2024-02-03
아메리카노,음료,4500,3200,14400000,서울,2024-02-04
카페라떼,음료,5000,2800,14000000,대구,2024-02-05
녹차,음료,3000,1500,4500000,광주,2024-02-06
맥북 에어,전자제품,1600000,88,140800000,서울,2024-02-07
갤럭시 탭,전자제품,750000,110,82500000,부산,2024-02-08
애플워치,전자제품,550000,145,79750000,서울,2024-02-09
삼성 버즈,전자제품,180000,280,50400000,인천,2024-02-10
소니 헤드폰,전자제품,420000,95,39900000,대전,2024-02-11
보스 스피커,전자제품,380000,62,23560000,서울,2024-02-12
